Year;Month;Day;Tx;Tn;RHx;RHn;U2;Rain
2014;5;5;17,17;8,81;91,76;40,82;5,18;0
2014;5;6;29,02;9,28;66,11;12,37;1,26;0
2014;5;7;26,54;12,75;93,37;31,33;1,8;0
2014;5;8;16,32;10,6;94,5;65,05;2,95;22,35
2014;5;9;16,1;10,47;94,22;60,25;3,39;8,64
2014;5;10;14,3;10,62;94,42;75,91;1,35;2,79
2014;5;11;18,21;8,53;94,52;51,9;0,73;0
2014;5;12;23,45;9,8;95,14;53,86;0,58;0
2014;5;13;23,1;9,34;95,94;54,63;2,73;0
2014;5;14;22,99;12,17;79,4;41,93;4,3;0
2014;5;15;17,7;11,32;95,64;65,46;2,49;26,42
2014;5;16;18,8;10,13;94,87;60,05;1,32;1,02
2014;5;17;17,92;12,11;76,05;39,98;5,81;0
2014;5;18;21,13;11,37;63,66;29,12;4,39;0
2014;5;19;27,08;9,95;94,46;28,2;1,13;0
2014;5;20;16,08;10,03;95,92;74,04;0,38;5,84
2014;5;21;19,48;10,22;94,97;58,68;0,67;0
2014;5;22;25,44;10,53;81,13;21,18;1,26;0
2014;5;23;27,27;9,51;80,96;22,83;0,86;0
2014;5;24;24,06;13,03;94,01;21,96;3,99;9,14
2014;5;25;18,85;10,8;94,35;60,67;3,03;0
2014;5;26;21,83;8,91;93,45;35;1,09;0
2014;5;27;21,52;8,59;94,81;36,43;2,35;9,4
2014;5;28;14,79;10,4;94,82;78,04;2,55;8,89
2014;5;29;15,96;9,23;94,59;72,56;2,59;14,48
2014;5;30;19,04;11,61;95,13;52,07;2,1;0
2014;5;31;19,83;9,49;95,53;53,36;2,66;26,92
2014;6;1;15,87;10,9;95,71;59,79;3,05;2,03
2014;6;2;15,93;11,07;93,34;69,78;2,82;4,06
2014;6;3;15,43;11,02;92,95;66,34;4,03;17,78
2014;6;4;13,12;6,24;94,41;62,43;4,38;27,43
2014;6;5;10,46;5,32;93,51;74,88;0,7;14,73
2014;6;6;15,02;4,7;93,55;54,64;0,91;0
2014;6;7;20,41;5,02;80,98;19,36;1,38;0
2014;6;8;16,74;9,39;95,16;26,69;2,89;35,05
2014;6;9;10,32;4,52;94,75;77,83;1,56;19,81
2014;6;10;14,42;4,28;93,35;48,7;0,85;0
2014;6;11;18,24;3,1;88,02;23,73;1,26;0
2014;6;12;22,11;5,02;75,84;21,96;1,41;0
2014;6;13;25,02;8,83;75,29;22,61;2,1;0
2014;6;14;16,41;11,55;95,61;51,36;3,67;61,98
2014;6;15;15,46;9,12;95,38;55,64;3,65;0,76
2014;6;16;16,11;6,5;93,04;57,07;0,76;0
2014;6;17;19,87;4,78;95,3;44,97;1,1;0
2014;6;18;13,34;6,62;95,46;65,02;2,05;45,72
2014;6;19;14,55;6,99;91,11;42,7;1,5;0
2014;6;20;15,89;5,67;94,52;59,59;0,68;0
2014;6;21;24,06;3,35;94,88;28,75;1,1;0
2014;6;22;26,2;10,21;68,89;13,96;1,73;0
2014;6;23;22,77;8,18;78,5;21,59;1,61;0
2014;6;24;26;10,59;67,45;22,73;2;0
2014;6;25;19,36;10,08;90,81;39,03;1,58;62,99
2014;6;26;16,4;10,51;95,56;53,35;2,04;14,73
2014;6;27;17,49;6,2;94,55;49,87;0,79;0
2014;6;28;20,08;4,69;94,21;33,48;0,99;0
2014;6;29;20,22;3,84;93,77;38,27;1,05;0
2014;6;30;23,65;5,07;88,96;28,2;1,39;0
2014;6;31;--;--;--;--;--;--
2014;7;1;16,23;7,8;92,26;50,31;1,77;0,25
2014;7;2;18,29;8,26;95,5;61,56;1,11;0
2014;7;3;16,73;11,51;91;64,61;2,88;0,25
2014;7;4;14,2;6,23;94,14;66,18;3,93;50,04
2014;7;5;11,09;3,86;93,73;62,68;1,04;5,08
2014;7;6;12,2;2,42;94,67;56,53;0,6;0,51
2014;7;7;15,39;0,82;93,62;39,51;1,13;0
2014;7;8;16,17;2,61;91,02;39,44;1,23;0
2014;7;9;16,72;4,99;90,5;44,74;2,7;0
2014;7;10;22,8;5,13;72,05;12,27;1,49;0
2014;7;11;22,98;5,12;79,2;13,89;1,48;0
2014;7;12;18,5;4,72;94,4;49,59;1,26;0
2014;7;13;14,22;6,3;94,64;68,04;1,23;1,78
2014;7;14;22,05;5,93;91,58;27,03;1,72;0
2014;7;15;24,42;7,69;78,5;16,03;1,61;0
2014;7;16;20,92;6,39;84,03;19,65;2,5;1,52
2014;7;17;12,88;8,5;94,51;73,64;4,42;25,65
2014;7;18;12,14;8,51;95,82;71,89;3,82;20,32
2014;7;19;12,7;8,57;94,95;79,31;1,38;0,76
2014;7;20;16,82;4,15;94,94;51,19;1,03;0
2014;7;21;24,42;2,32;86,82;11,56;1,42;0
2014;7;22;18,97;6,48;86,72;44,91;2,06;0
2014;7;23;23,01;6,38;88,67;31,21;1,5;0
2014;7;24;14,83;9,42;92,43;50,94;3,92;10,92
2014;7;25;12,12;6,93;94,22;66,32;3,2;24,89
2014;7;26;12,05;6,81;95,18;82,35;2,73;20,57
2014;7;27;15,2;10,31;95,32;77,28;0,39;0,25
2014;7;28;20,96;8,18;92,81;41,38;2,93;0
2014;7;29;25,44;8,33;91,33;22,48;1,36;0
2014;7;30;26,54;11,23;88,5;30,94;1,39;0
2014;7;31;24,86;9,21;93,32;33,52;1,34;0
2014;8;1;21,6;7,86;96,26;46,85;1,16;0
2014;8;2;14,29;6,61;95,23;65,4;2,72;0
2014;8;3;18,54;10,02;91,2;57,19;2,88;0
2014;8;4;17,36;8,39;94,47;52,97;1,59;21,08
2014;8;5;14,79;9,13;95,08;64,17;1,72;7,62
2014;8;6;15,27;8,87;93,11;64,26;1,42;1,27
2014;8;7;19,05;6,65;94,51;39,75;4,66;0
2014;8;8;25,38;13,14;78,21;32,18;3,97;0
2014;8;9;21,94;8,45;93,31;51,44;3,41;0
2014;8;10;25,04;15,98;69,15;38,55;3,21;0
2014;8;11;22,51;10,43;96,1;54,82;1,15;0
2014;8;12;26,67;6,66;97,3;19,68;1,28;0,76
2014;8;13;15,04;11,97;94,68;70,33;3,45;17,53
2014;8;14;17,98;9,45;94,59;63,86;1,12;0
2014;8;15;20,88;7,84;94,33;41,81;2,49;0
2014;8;16;24,68;7,41;85,82;29,26;1,25;0
2014;8;17;29,62;14,44;75,37;25,06;1,46;0
2014;8;18;24,53;12,54;83,75;31,17;2,19;0
2014;8;19;14,64;11,35;94,36;71,03;3,2;5,59
2014;8;20;12,7;7,71;95,3;82,62;2,33;27,69
2014;8;21;15,53;6,7;94,59;46,43;2,75;24,13
2014;8;22;17,62;6,44;94,74;46,6;1,15;0
2014;8;23;18,55;3,58;90,19;36,39;1,96;0
2014;8;24;24,09;2,05;89,98;21,18;1,32;0
2014;8;25;23,23;10,25;94,39;13,67;3,3;7,62
2014;8;26;17,57;10,78;94,82;64,66;1,66;4,32
2014;8;27;13,79;9,12;94,79;65,31;3,15;42,67
2014;8;28;10,54;4,86;93,69;52,33;2,38;31,75
2014;8;29;16,38;4,76;94,81;41,15;2,33;0,25
2014;8;30;23,46;10,78;61,3;26,67;4,21;0
2014;8;31;26,66;10,52;67,44;16,94;1,35;0
2014;9;1;29,93;11,02;61,72;9,38;1,64;0
2014;9;2;30,68;11,85;67,53;8,81;1,83;0
2014;9;3;21,44;6,98;95,84;30,94;1,56;0
2014;9;4;29,63;11,71;75,48;15,03;2,15;0
2014;9;5;19,51;8,28;94,56;54,95;1,15;0
2014;9;6;18,6;7,95;94,99;67,21;0,77;0,25
2014;9;7;23,37;5,83;93,76;30,93;1,6;0
2014;9;8;20,85;6,69;95,8;53,06;2,54;0
2014;9;9;24,19;10,61;74,75;31,84;3,77;0
2014;9;10;18;11,18;88,58;56,76;6,13;0
2014;9;11;21,79;10,68;91,37;46,16;3,67;0
2014;9;12;19,9;6,02;92,81;37,85;1,38;0
2014;9;13;21,63;4,31;95,94;33,29;1,14;0
2014;9;14;23,27;5,08;95,08;34,6;1,07;0
2014;9;15;22,71;7,38;94,06;28,71;1,09;0
2014;9;16;25,86;8,37;89,73;35,46;2,5;0
2014;9;17;18,53;10,25;94,31;40,94;2,07;30,23
2014;9;18;12,03;7,46;92,56;63,5;3,65;20,32
2014;9;19;15,18;4,34;93,29;46,83;1,13;2,54
2014;9;20;20,91;3,2;86,9;30,55;1,44;0
2014;9;21;27,71;6,86;82,52;18,83;2,49;0
2014;9;22;34,11;11,03;94,69;9,33;1,87;0
2014;9;23;20,95;7,87;95,29;43,5;1,92;0
2014;9;24;19,45;11,92;86,07;57,91;2,54;0
2014;9;25;21,05;10,7;91,01;56,1;1,54;0
2014;9;26;15,99;6,83;91,91;53,02;1,31;5,84
2014;9;27;15,76;7,85;92,7;55,27;3,24;2,79
2014;9;28;19,91;10,73;68,36;35,28;6,21;0
2014;9;29;18,92;6,16;94,72;40,86;1,19;3,56
2014;9;30;15,38;5,02;94,55;70,24;1,15;1,02
2014;9;31;--;--;--;--;--;--
2014;10;1;23,88;14,55;73,41;30,21;6,28;0
2014;10;2;24,1;15,29;69,7;37;7,55;0
2014;10;3;25,34;16,63;52,85;22,15;6,68;0
2014;10;4;30,08;14,27;68,85;14,88;2,82;0
2014;10;5;34,68;14,44;76,06;8,11;0,97;0
2014;10;6;33,51;13,26;94,62;12,46;1,31;0,76
2014;10;7;21,52;12,04;95,61;48,67;1,48;2,79
2014;10;8;17,41;8,97;93,02;41,3;2,06;0,25
2014;10;9;14,71;6,06;85,47;56,92;1,49;0,51
2014;10;10;23,53;8,89;75,52;32,11;6,7;0
2014;10;11;27,28;13,84;69,91;29,22;3,37;0
2014;10;12;24,85;12,95;88,69;39,17;5,33;0
2014;10;13;25,77;14,95;68,97;36,05;8,23;0
2014;10;14;28,94;10,78;95,21;20,08;1,63;0
2014;10;15;23,29;10,15;94,63;43,5;1,82;8,38
2014;10;16;19,81;11,56;94,28;57,13;2,77;3,05
2014;10;17;24,82;12,04;67,23;21,63;5,08;0
2014;10;18;29,26;9,12;73,33;12,62;1,55;0
2014;10;19;25,95;8,56;82,53;23,88;6,03;0
2014;10;20;27,53;18,13;63,25;28,24;6,68;0
2014;10;21;28,71;12,43;92,9;32,91;1,65;0
2014;10;22;27,36;10,51;94,81;48,13;1,09;0
2014;10;23;25,42;14,03;95,24;48,06;3,54;0
2014;10;24;26,37;17,22;73,97;35,43;8,93;0
2014;10;25;25,63;16,34;69,1;36,97;11,1;0
2014;10;26;30,79;18,17;60,71;26,13;4,62;0
2014;10;27;29,58;14,25;92,86;26,13;1;0
2014;10;28;28,18;10,38;96,14;42,25;2,34;0
2014;10;29;24,67;14,08;93,41;45,67;2,17;2,03
2014;10;30;18,29;11,98;94,07;48,13;2,81;0,76
2014;10;31;21,64;12,03;65,55;37,49;10,54;0
2014;11;1;25,5;14,22;72,99;33,75;8,48;0
2014;11;2;29,53;15,76;70,91;32,2;5,08;0
2014;11;3;23,44;13,11;93,52;47,02;0,75;13,72
2014;11;4;20,15;12,43;93,54;70,87;0,44;3,81
2014;11;5;25,38;12,95;93,16;42,04;1,69;0
2014;11;6;31,94;18,3;62,5;15,23;6,08;0
2014;11;7;35,54;16,43;61,02;12,36;3,18;0
2014;11;8;26,65;12,14;93,17;35,67;1,05;0
2014;11;9;28,1;12,16;96,28;31,92;4,48;0
2014;11;10;21,59;16,35;79,32;54,76;9,46;0
2014;11;11;27,43;10,47;91,63;30,04;1,69;0
2014;11;12;22,28;10;94,8;43,53;2,07;79,76
2014;11;13;21,43;8,91;93,41;42,33;1,83;0
2014;11;14;20,55;7,34;94,93;41,46;2,54;29,46
2014;11;15;16,23;7,31;91,48;46,51;1,7;1,02
2014;11;16;20,38;10,36;79,86;35,56;4,68;0
2014;11;17;24,99;13,11;65,1;29,65;7,65;0
2014;11;18;28,62;17,47;60,79;15,17;6,49;0
2014;11;19;27,68;15,82;66,48;12,12;6,67;0
2014;11;20;24,12;15,77;76,4;22,95;5,07;0
2014;11;21;29,4;18,7;53,82;18,9;7,31;0
2014;11;22;33,83;19,89;59,64;16,63;4,56;0
2014;11;23;25,85;11,26;94,37;51,72;2,26;0
2014;11;24;29,99;17,09;70,39;29,82;4,78;0
2014;11;25;31,14;20,31;56,08;32,92;6,29;0
2014;11;26;26,38;15,32;93,97;36,7;3,72;14,48
2014;11;27;20,55;14,65;94,8;59,22;1,91;11,68
2014;11;28;24,38;12,83;94,06;41,59;1,67;0
2014;11;29;29,41;16,36;71,93;31,85;2,61;0
2014;11;30;31,42;13,5;93,2;29,66;1,19;0
2014;11;31;--;--;--;--;--;--
2014;12;1;25,64;10,15;96,88;46,64;3,24;0
2014;12;2;20,98;15,17;82,08;59,28;11,67;0
2014;12;3;20,74;14,8;82,22;60,64;11,09;0
2014;12;4;26,28;15,25;80,27;44,45;6,66;0
2014;12;5;28,5;16,08;74,16;34,92;7,83;0
2014;12;6;33,24;22,37;51,88;19,81;4,74;0
2014;12;7;34,74;18,11;72,93;18,53;1,68;0
2014;12;8;32,45;15,95;90,88;36,42;0,89;0
2014;12;9;25,79;14,65;94,13;48,38;1,71;0
2014;12;10;28,2;17,68;71,98;24,12;6,25;0
2014;12;11;29,79;10,72;92,96;23,94;1,26;0,76
2014;12;12;22;14,02;91,65;45,56;3,03;1,52
2014;12;13;30;11,42;92,52;25,12;2,48;0
2014;12;14;25,82;9,37;95,92;37,14;2,23;0
2014;12;15;25,63;15,46;65,47;31,22;7,3;0
2014;12;16;29,62;16,34;64,94;12,19;5,99;0
2014;12;17;34,21;12,65;92,56;12,35;2,28;0
2014;12;18;28,65;10,53;96,15;40,35;1,7;0
2014;12;19;25,07;10,11;95,31;42,08;1,84;0
2014;12;20;22,82;11,09;81,8;36,24;2,11;0
2014;12;21;24,04;10,56;88,66;38,22;1,38;0
2014;12;22;27,28;11,34;94,9;37,6;1,76;0
2014;12;23;23,93;13,59;89,23;51,84;1,2;0
2014;12;24;28,07;10,41;94,37;35,87;1,49;0
2014;12;25;19,46;14,91;95,09;71,5;1,88;16,51
2014;12;26;26,4;10,53;90,5;31,58;4,42;0
2014;12;27;24,63;15,92;78,84;48,13;6,11;0
2014;12;28;26,94;16,6;78,88;43,56;7,82;0
2014;12;29;31,39;18,16;77,24;33,91;6,99;0
2014;12;30;27,95;19,35;76,77;43;8,89;0
2014;12;31;30,08;19,35;74,31;38,19;7,42;0
2015;1;1;30,37;14,09;91,2;37,95;1,35;0
2015;1;2;28,2;14,54;93,77;39,96;1,33;0
2015;1;3;26,78;13,72;92,61;40,35;1,38;0,51
2015;1;4;27,71;14,3;94,31;36,97;1,59;0
2015;1;5;22,51;16,26;94,09;75,34;1,51;2,03
2015;1;6;32,23;14,08;93,71;6,1;2,98;0
2015;1;7;36,98;14,39;92,49;5,19;1,88;0
2015;1;8;28,61;12,46;94,47;29,64;2,59;0
2015;1;9;33,77;17,21;66,16;20,23;4,99;0
2015;1;10;30,61;13,53;78,65;33,49;2,77;0
2015;1;11;32,37;12,86;82,16;31,43;2,85;0
2015;1;12;31,05;14,1;91,22;32,46;1,58;0
2015;1;13;30,36;11,53;94,14;37,29;5,77;0
2015;1;14;35,52;21,44;67,52;28,19;4,57;0
2015;1;15;28,69;16,65;87,36;39,61;3,13;26,92
2015;1;16;19,67;11,62;94,03;43,39;2,08;0,25
2015;1;17;26,76;9,62;92,5;25,66;1,21;0
2015;1;18;25,89;10,18;95,1;41,27;3,16;0
2015;1;19;27,48;15,89;70,57;31,27;10,19;0
2015;1;20;35,06;19,04;60,09;15,28;4,19;0
2015;1;21;32,56;18,57;65,49;26,8;5,95;0
2015;1;22;34,95;17,52;68,61;25,98;2,14;0
2015;1;23;36,3;20,61;64,59;25,66;3,25;0
2015;1;24;35,93;16,34;87,88;13,51;1,83;0
2015;1;25;31,03;12,77;94,31;31,95;1,15;0
2015;1;26;27,26;14,58;92,74;48,06;1,27;0
2015;1;27;26,93;18,08;74,33;41,75;7,81;0
2015;1;28;33,7;18,81;68,52;27,38;4,44;0
2015;1;29;37,17;17,83;76,69;22,59;1,65;0
2015;1;30;29,69;14,39;92,63;35,37;1,71;7,62
2015;1;31;23,14;15,13;94,42;43,6;2,38;0,25
2015;2;1;27,34;15,4;64,8;26,49;7,96;0
2015;2;2;31,06;17,35;57,16;19,94;5,83;0
2015;2;3;31,01;14,75;90,38;28,21;1,67;0
2015;2;4;23,85;14;92,44;45,17;0,63;1,52
2015;2;5;26,45;14,4;94,06;34,69;1,31;0
2015;2;6;29,47;14,04;86,54;34,73;1,85;0
2015;2;7;32,88;13,17;90,38;25,74;1,14;0
2015;2;8;30,93;12,85;87,38;25,8;1,67;0
2015;2;9;31,11;11,85;91,21;31,18;1,35;8,38
2015;2;10;24,05;11,51;94,73;32,33;2,37;1,78
2015;2;11;29,14;9,3;89,64;31,33;1,8;0
2015;2;12;28,07;11,55;92,49;38,5;1,43;0
2015;2;13;24,75;11,56;93,51;47,95;1,07;1,02
2015;2;14;24,91;15,48;93,42;37,95;3,2;0
2015;2;15;27,38;15,5;81,54;26,62;5,66;0
2015;2;16;30,05;16,65;64,28;23,5;7,95;0
2015;2;17;36,82;18,08;45,94;11,31;1,96;0
2015;2;18;27,54;12,91;82,18;32,12;2,26;2,03
2015;2;19;26,84;13,83;92,08;36,52;3,96;0
2015;2;20;28,53;11,55;75,96;30,46;2,66;1,52
2015;2;21;20,82;12,97;85,36;37,19;4,44;0,51
2015;2;22;29,86;13,08;57,33;18,6;4,85;0
2015;2;23;32,98;17,48;62,01;24,71;5,29;0
2015;2;24;29,27;20,09;76,02;40,99;9,14;0
2015;2;25;28,91;20,19;77,27;43,26;6,42;0
2015;2;26;28,62;13,73;89,7;43,24;2,84;0
2015;2;27;30,08;12,01;82,87;20,42;4;0
2015;2;28;34,56;16,24;69,56;22,8;3,05;0
2015;2;29;--;--;--;--;--;--
2015;2;30;--;--;--;--;--;--
2015;2;31;--;--;--;--;--;--
2015;3;1;28,53;19,77;68,34;33,97;9,52;0
2015;3;2;35,36;20,43;57,5;17,84;6,6;0
2015;3;3;42,33;19,26;53,9;8,93;0,84;0
2015;3;4;30,59;17,22;82,78;27,33;1,95;0
2015;3;5;28,09;16,1;74,04;31,18;5,53;0
2015;3;6;31,02;10,14;76,55;25,35;2,6;0
2015;3;7;26,95;10,01;90,16;43,45;1,37;0
2015;3;8;31,14;9,15;94,08;28,27;1,84;0
2015;3;9;34,63;12,2;91,9;20,34;1,48;0
2015;3;10;86;12,44;93,12;3,56;3,1;0
2015;3;11;30,96;19,28;62,7;24,06;4,15;0
2015;3;12;28,24;15,97;90,48;33,31;0,7;0
2015;3;13;25,8;18,15;67,14;43,42;4,97;0
2015;3;14;33,06;17,72;72,87;29,07;1,64;0
2015;3;15;26,58;14,16;90,5;37,54;0,59;0
2015;3;16;25,6;13,1;89,4;43,07;3,66;0
2015;3;17;25,12;15,19;78,68;42,15;6,88;0
2015;3;18;28,92;14,6;86,73;28,7;1,08;0
2015;3;19;29,38;12,4;92,64;33,53;0,37;0
2015;3;20;27,81;16,08;80,15;31,75;1,38;2,29
2015;3;21;26,65;15,35;90,77;42,51;1,29;0
2015;3;22;28,61;12,39;91;34,54;2,94;0
2015;3;23;26,85;19,52;78,15;43,21;5,46;0
2015;3;24;27,57;18,65;76,88;40,21;4,28;0
2015;3;25;30,74;15,65;91,47;29,75;1,69;0
2015;3;26;25,18;13,89;96,03;49,73;0,96;0
2015;3;27;22,48;13,91;95,58;53,31;5,08;0
2015;3;28;31,69;13,94;71,8;24,76;1,69;0
2015;3;29;30,98;16,14;74,86;22,13;3,2;0
2015;3;30;32,44;19,4;70,18;28,21;2,41;0
2015;3;31;32,9;15,37;86,77;25,29;1,13;0
2015;4;1;27,95;13,32;97,74;36,89;0,67;0
2015;4;2;26,31;12,15;98,73;46,67;1,13;0
2015;4;3;23,97;10,75;92,08;34,78;3,46;0
2015;4;4;19,28;14,38;85,82;51;3,5;1,27
2015;4;5;20,71;13,61;80,01;46,44;5,32;0
2015;4;6;28,59;15,7;60,72;23,71;3,01;0
2015;4;7;25,99;19,85;59,51;34,4;5,74;0
2015;4;8;32,65;17,91;53,31;16,58;2,51;0
2015;4;9;36,54;20,72;54,59;15,91;1,24;0
2015;4;10;33,34;16,34;67,37;16,88;0,93;0
2015;4;11;29,07;12,7;93,89;30,78;0,87;0
2015;4;12;32,02;11,81;88,01;14,53;0,87;0
